X Field,X軸欄位
"If this item has variants,then it cannot be selected in sales orders etc.",如果此物料有多種規格(模板物料)，就不能直接在銷售訂單中使用，相應地需使用具體的多規格物料
Text to be displayed for Link to Web Page if this form has a web page. Link route will be automatically generated based on `page_name` and `parent_website_route`,如果此表單有網頁的話，請輸入頁面連結的顯示文本。連結會自動按照`頁面名稱`和`上級網站連結`生成
"If there is no assigned timeslot, then communication will be handled by this group",如果沒有分配的時間段，則該組將處理通信
Notify if unreplied,如果沒有回覆的通知
"If item is a variant of another item then description, image, pricing, taxes etc will be set from the template unless explicitly specified",如果物料為另一物料其中一種規格(多規格物料)，那麼它的描述，圖片，價格，稅率等將從模板物料自動帶過來。你也可以手動設定。
"If the user has any role checked, then the user becomes a ""System User"". ""System User"" has access to the desktop",如果用戶檢查了任何角色，則該用戶將成為“系統用戶”。 “系統用戶”可以訪問桌面
"Multiple Price Rules exists with same criteria, please resolve conflict by assigning priority. Price Rules: {0}",如果相同條件有多條規則存在，請分配優先度解決衝突。動態定價規則：{0}
"If disabled, this role will be removed from all users.",如果禁用了，這個角色將會從所有用戶中刪除。
"If disable, 'Rounded Total' field will not be visible in any transaction",如果禁用，“圓整後金額”欄位將不在任何交易中顯示
"If the account is frozen, entries are allowed to restricted users.",如果科目被凍結，只允許有編輯凍結憑證角色的用戶過帳
"If unlimited expiry for the Loyalty Points, keep the Expiry Duration empty or 0.",如果積分無失效日期，請將失效日期設為空或0。
Will only be shown if section headings are enabled,如果章節標題啟用才會顯示
If Checked workflow status will not override status in list view,如勾選，工作流狀態不會覆蓋列表視圖中的狀態欄位
"If you set this, this Item will come in a drop-down under the selected parent.",如果維護此上級菜單資訊，本菜單項僅作為下級菜單。
Select Monthly Distribution to unevenly distribute targets across months.,如果要不規則的按月分配，請選擇“每月分攤比例模板”。
"If a Role does not have access at Level 0, then higher levels are meaningless.",如果角色沒有0級的訪問權限，那麼無需設定更高級權限
Daily Event Digest is sent for Calendar Events where reminders are set.,如果設定了日曆事件提醒會發送每日事件摘要。
Enter name of campaign if source of enquiry is campaign,如果詢價的來源是促銷活動的話請輸入促銷活動名稱。
Remove item if charges is not applicable to that item,如果費用不適用某物料，請刪除它
Reference No is mandatory if you entered Reference Date,如果輸入參考日期，參考單據號必填
Either GST Transporter ID or Vehicle No is required if Mode of Transport is Road,如果運輸方式為道路，則需要GST運輸車ID或車輛號
Vehicle Type is required if Mode of Transport is Road,如果運輸方式為道路，則需要車輛類型
Send alert if this field's value changes,如果這個欄位的值改變則發送預警通知
"If these instructions where not helpful, please add in your suggestions on GitHub Issues.",如果這些說明沒有幫助，請在Github提交你的建議。
"If Apply Strict User Permission is checked and User Permission is defined for a DocType for a User, then all the documents where value of the link is blank, will not be shown to that User",如果選中了“嚴格用戶權限”，並為用戶定義了“用戶權限”，則該連結的值為空的所有單據將不會顯示給該用戶
"If checked, a customer will be created, mapped to Patient.Patient Invoices will be created against this Customer. You can also select existing Customer while creating Patient.",如果選中，將創建一個客戶，映射到患者。將針對該客戶創建病人發票。您也可以在創建患者時選擇現有客戶。
"If checked, users will not see the Confirm Access dialog.",如果選中，用戶將不會看到確認訪問對話框。
"If checked, the Home page will be the default Item Group for the website",如果選中，網站首頁將默認顯示該物料組
"If selected Pricing Rule is made for 'Rate', it will overwrite Price List. Pricing Rule rate is the final rate, so no further discount should be applied. Hence, in transactions like Sales Order, Purchase Order etc, it will be fetched in 'Rate' field, rather than 'Price List Rate' field.",如果在價格/產品折扣欄位選擇“價格”，則動態定價規則單價會帶到業務單據單價而非標價欄位。也就是說動態定價規則的單價會覆蓋物料價格中定義的單價，也會忽略其它動態定價規則中的折扣或上浮，此單價就是最終單價。
Customer is mandatory if 'Opportunity From' is selected as Customer,如果選擇“商機來源”作為客戶，則客戶欄位必填
Leave blank if considered for all branches,如果針對所有分支機構請留空
Leave blank if considered for all employee types,如果針對所有員工類型請留空
Leave blank if considered for all designations,如果針對所有職位請留空
Leave blank if considered for all departments,如果針對所有部門請留空
System will fetch all the entries if limit value is zero.,如果限額為0，系統會抓取所有記錄
"If non standard port (e.g. 587). If on Google Cloud, try port 2525.",如果非標準埠（例如587）。如果在Google Cloud上，請嘗試使用埠2525。
Leave blank if you make students groups per year,如每年都創建班級，請不要勾選
Check if Asset requires Preventive Maintenance or Calibration,如資產需預防性維護保養或校準請勾選
Mention if non-standard receivable account,如使用非標準應收科目，請在這裡指定
Mention if non-standard Receivable account,如使用非標準應收科目，請在這裡指定
Please select Carry Forward if you also want to include previous fiscal year's balance leaves to this fiscal year,如須包括上年結餘假期，請選擇結轉
Always use Account's Name as Sender's Name,始終使用帳戶名稱作為發件人姓名
Always use Account's Email Address as Sender,始終使用用戶的電子信箱地址作為發件人
Last Name,姓
Person Name,姓名
First Name,姓名
Name cannot contain special characters like {0},名稱不能包含特殊字元，如{0}
Name and Employee ID,姓名和員工號
Name or Email is mandatory,姓名或電子郵件資訊必填
Entertainment & Leisure,娛樂休閒
Entertainment Expenses,娛樂費用
Marital Status,婚姻狀況
Child Task exists for this Task. You can not delete this Task.,子任務存在這個任務。你不能刪除這個任務。
Account {0} is added in the child company {1},子公司{1}中新增了科目{0}
Subsidiary companies have already planned for {1} vacancies at a budget of {2}. \				Staffing Plan for {0} should allocate more vacancies and budget for {3} than planned for its subsidiary companies,子公司已經計劃{2}的預算{1}空缺。 \ {0}的人員需求計劃應為其子公司分配更多空缺和預算{3}
Subdomain,子域名
Use of sub-query or function is restricted,子查詢或函數的使用受到限制
Subtitle,子標題
Sub Type,子類型
Child nodes can be only created under 'Group' type nodes,子節點只可創建在組類節點下
Child Tables are shown as a Grid in other DocTypes,子表在其他DocType中顯示為網格
Child Table Mapping,子表映射
"Sub-currency. For e.g. ""Cent""",子貨幣，例如分
Child Item should not be a Product Bundle. Please remove item `{0}` and save,子項不應該是一個套件。請刪除物料`{0}`再保存
Font,字體
Fonts,字體
Font Size,字體大小
Font Size (px),字體大小（px）
Font Styles,字體樣式
Field,欄位
Fields,欄位
Fields Multicheck,欄位Multicheck
Field {0} is not selectable.,欄位{0}是不可選擇的。
Field '{0}' cannot be set as Unique as it has non-unique values,欄位“{0}”不能設為不允許重複，因已有資料中存在重複值
